Source,Target,Amount,LND1
3621,6090,7233,"[[3621, 855, 6090], np.float64(1.4466), np.int64(80), 3, 'Success']"
9743,12762,39617,"[[9743, 609, 2633, 12762], np.float64(5.15033), np.int64(120), 4, 'Success']"
5869,11387,134449,"[[5869, 2784, 4339, 10159, 11387], np.float64(31.714980000000004), np.int64(160), 5, 'Success']"
6335,2270,3539189,"[[6335, 3086, 2270], np.float64(74.32297), np.int64(74), 3, 'Failure']"
858,6365,14231680,"[[858, 1983, 60, 6365], np.float64(799.2248599999999), np.int64(120), 4, 'Failure']"
1442,3018,5,"[[1442, 609, 124, 3018], np.float64(0.00116), np.int64(120), 4, 'Success']"
2158,9327,20,"[[2158, 600, 18, 9327], np.float64(1.0630199999999999), np.int64(120), 4, 'Success']"
3409,9583,471,"[[3409, 600, 6010, 609, 9583], np.float64(0.048510000000000005), np.int64(160), 5, 'Success']"
1837,4439,8453,"[[1837, 490, 32, 4439], np.float64(6.226509999999999), np.int64(224), 4, 'Success']"
2936,12839,15828,"[[2936, 32, 12839], np.float64(8.89817), np.int64(184), 3, 'Success']"
8530,3807,751996,"[[8530, 321, 64, 3808, 3807], np.float64(249.224), np.int64(160), 5, 'Failure']"
3286,35,9210109,"[[3286, 59, 177, 35], np.float64(508.806), np.int64(98), 4, 'Success']"
11049,2618,16344760,"[[11049, 64, 177, 2618], np.float64(901.2118), np.int64(79), 4, 'Success']"
132,8603,7,"[[132, 48, 3438, 8603], np.float64(1.0009), np.int64(120), 4, 'Success']"
4049,3986,19,"[[4049, 3083, 5965, 167, 3986], np.float64(0.05702), np.int64(254), 5, 'Success']"
1360,4984,684,"[[1360, 18, 10211, 4984], np.float64(1.06908), np.int64(114), 4, 'Success']"
11484,5889,3918,"[[11484, 1067, 233, 2178, 5889], np.float64(1.4584199999999998), np.int64(154), 5, 'Success']"
6790,3019,14232,"[[6790, 634, 254, 3019], np.float64(19.830340000000003), np.int64(224), 4, 'Success']"
2203,222,297385,"[[2203, 1343, 131, 222], np.float64(15.67976), np.int64(120), 4, 'Success']"
2636,1425,1686398,
8048,3386,12875813,"[[8048, 18, 175, 3386], np.float64(724.29624), np.int64(120), 4, 'Failure']"
3220,35,10,"[[3220, 1139, 3642, 8448, 35], np.float64(0.044050000000000006), np.int64(160), 5, 'Success']"
5594,9533,43,"[[5594, 6980, 8353, 6562, 7702, 7701, 9533], np.float64(5.13192), np.int64(338), 7, 'Success']"
2566,12738,889,"[[2566, 1139, 1609, 12346, 12738], np.float64(4.67479), np.int64(160), 5, 'Success']"
2251,6889,6327,"[[2251, 10, 48, 5975, 6890, 6889], np.float64(9.52525), np.int64(200), 6, 'Success']"
3796,9857,18788,"[[3796, 1139, 3905, 32, 9857], np.float64(10.58199), np.int64(264), 5, 'Failure']"
1459,5814,252764,"[[1459, 6537, 5528, 4015, 5814], np.float64(145.09589), np.int64(160), 5, 'Failure']"
1568,514,1298680,"[[1568, 56, 142, 514], np.float64(709.6158899999999), np.int64(120), 4, 'Success']"
3143,86,11875202,"[[3143, 2734, 32, 86], np.float64(35630.54761), np.int64(328), 4, 'Success']"
5957,3755,2,"[[5957, 3388, 1139, 3755], np.float64(1.006), np.int64(120), 4, 'Success']"
2187,4179,12,"[[2187, 2081, 19, 609, 4179], np.float64(0.03601), np.int64(138), 5, 'Success']"
6354,9093,586,"[[6354, 2, 8768, 9093], np.float64(0.0), np.int64(202), 4, 'Success']"
7918,9993,6758,"[[7918, 182, 32, 9993], np.float64(5.379), np.int64(224), 4, 'Success']"
9521,3052,85074,"[[9521, 3894, 32, 3052], np.float64(43.45193), np.int64(224), 4, 'Success']"
5526,6050,302799,"[[5526, 5530, 6011, 4714, 6050], np.float64(66.61941), np.int64(160), 5, 'Failure']"
138,3803,4209316,"[[138, 62, 167, 2324, 3803], np.float64(4238.04612), np.int64(150), 5, 'Failure']"
32,5855,30161492,"[[32, 5855], 0, np.int64(144), 2, 'Failure']"
10012,9366,1,"[[10012, 9996, 855, 9366], np.float64(0.00028000000000000003), np.int64(120), 4, 'Success']"
2454,7095,54,"[[2454, 167, 2223, 6274, 7095], np.float64(5e-05), np.int64(254), 5, 'Success']"
3428,9303,880,"[[3428, 3429, 4794, 177, 62, 9303], np.float64(11.19538), np.int64(178), 6, 'Success']"
1575,987,1499,"[[1575, 1059, 600, 987], np.float64(4.497), np.int64(120), 4, 'Success']"
1317,9831,47300,"[[1317, 2, 5038, 855, 9831], np.float64(10.50731), np.int64(138), 5, 'Failure']"
320,1769,826168,"[[320, 2189, 595, 1769], np.float64(106.27174000000001), np.int64(120), 4, 'Success']"
18,4896,3410771,"[[18, 177, 50, 4896], np.float64(189.8424), np.int64(98), 4, 'Success']"
370,3919,25800346,"[[370, 614, 71, 175, 78, 3919], np.float64(59476.245390000004), np.int64(156), 6, 'Failure']"
13011,6764,7,"[[13011, 12532, 11928, 56, 167, 8508, 6764], np.float64(4.25046), np.int64(230), 7, 'Success']"
12557,8832,100,"[[12557, 10798, 6628, 6020, 8768, 8832], np.float64(0.0256), np.int64(292), 6, 'Success']"
12263,4320,329,"[[12263, 21, 3083, 4320], np.float64(1.00033), np.int64(224), 4, 'Success']"
1169,856,2497,"[[1169, 1139, 3832, 167, 856], np.float64(0.03496), np.int64(150), 5, 'Failure']"
6733,8028,22785,"[[6733, 32, 1139, 8028], np.float64(80.75882), np.int64(224), 4, 'Failure']"
11454,7050,190957,"[[11454, 11799, 5199, 7011, 126, 7050], np.float64(2.57288), np.int64(200), 6, 'Failure']"
6668,5651,1084870,"[[6668, 56, 5651], np.float64(61.91785), np.int64(80), 3, 'Failure']"
3481,11891,11086497,"[[3481, 172, 6722, 12325, 11891], np.float64(2473.03484), np.int64(154), 5, 'Failure']"
6934,9075,10,"[[6934, 32, 2, 8768, 9075], np.float64(1.00499), np.int64(346), 5, 'Success']"
717,12148,88,"[[717, 600, 12325, 12148], np.float64(0.264), np.int64(114), 4, 'Success']"
2373,5757,566,"[[2373, 609, 2706, 4822, 5757], np.float64(0.00057), np.int64(264), 5, 'Success']"
4869,4905,7510,"[[4869, 5452, 6020, 4822, 4905], np.float64(1.00751), np.int64(264), 5, 'Success']"
3251,8123,61925,"[[3251, 609, 3159, 8123], np.float64(6.81181), np.int64(120), 4, 'Failure']"
259,9650,830089,"[[259, 2189, 18, 2053, 9650], np.float64(12.96109), np.int64(154), 5, 'Success']"
2739,8516,3905408,"[[2739, 612, 1659, 71, 8516], np.float64(221.95307), np.int64(160), 5, 'Failure']"
5979,6090,29759650,"[[5979, 70, 2597, 6413, 3520, 6090], np.float64(104911.37971000001), np.int64(382), 6, 'Failure']"
10361,12664,10,"[[10361, 10294, 4822, 6079, 9314, 12664], np.float64(0.03075), np.int64(398), 6, 'Success']"
7734,244,57,"[[7734, 6274, 124, 244], np.float64(0.18415), np.int64(224), 4, 'Success']"
904,2177,311,"[[904, 600, 5002, 321, 2177], np.float64(1.31637), np.int64(160), 5, 'Success']"
3071,248,3126,"[[3071, 3072, 32, 248], np.float64(3.563), np.int64(224), 4, 'Success']"
13046,3229,88158,"[[13046, 9949, 8716, 61, 3229], np.float64(7.98034), np.int64(160), 5, 'Failure']"
6015,2711,968773,"[[6015, 855, 2711], np.float64(193.7546), np.int64(80), 3, 'Failure']"
10113,2934,4387302,"[[10113, 321, 2934], np.float64(5.3873), np.int64(80), 3, 'Failure']"
2189,56,72364760,
12479,9689,8,"[[12479, 3119, 463, 3642, 9689], np.float64(1.0052100000000002), np.int64(160), 5, 'Success']"
10574,4989,72,"[[10574, 10294, 124, 32, 4989], np.float64(1.27189), np.int64(368), 5, 'Success']"
4274,12947,508,"[[4274, 32, 5965, 12445, 12947], np.float64(6.33552), np.int64(266), 5, 'Success']"
307,7726,8052,"[[307, 600, 6184, 6274, 7726], np.float64(0.5644199999999999), np.int64(264), 5, 'Success']"
8076,499,75028,"[[8076, 32, 499], np.float64(38.43897), np.int64(184), 3, 'Failure']"
344,9607,534794,"[[344, 32, 18, 9689, 9592, 9593, 9607], np.float64(285.84551), np.int64(344), 7, 'Failure']"
8129,51,2461193,"[[8129, 233, 893, 51], np.float64(17.49478), np.int64(114), 4, 'Failure']"
2734,5972,27032042,"[[2734, 137, 3292, 5972], np.float64(6758.1105), np.int64(214), 4, 'Success']"
7564,12532,5,"[[7564, 7218, 2, 56, 11928, 12532], np.float64(19.07706), np.int64(282), 6, 'Success']"
9687,11524,73,"[[9687, 60, 12325, 293, 11524], np.float64(2.25606), np.int64(154), 5, 'Success']"
11886,6023,136,"[[11886, 5984, 8702, 6023], np.float64(0.00258), np.int64(120), 4, 'Success']"
7401,11408,5840,"[[7401, 7218, 21, 11359, 11408], np.float64(19.590429999999998), np.int64(258), 5, 'Success']"
11297,6672,35963,"[[11297, 9893, 609, 6672], np.float64(7.192959999999999), np.int64(120), 4, 'Success']"
5357,13057,143613,"[[5357, 855, 13057], np.float64(28.7226), np.int64(80), 3, 'Failure']"
3395,2399,1047754,"[[3395, 4859, 32, 7946, 2399], np.float64(1059.40888), np.int64(264), 5, 'Failure']"
3969,55,23540846,"[[3969, 175, 55], np.float64(0.0), np.int64(58), 3, 'Success']"
4513,3726,7,"[[4513, 855, 3726], np.float64(0.0014), np.int64(80), 3, 'Success']"
4213,9424,16,"[[4213, 3083, 2537, 894, 556, 9424], np.float64(1.05236), np.int64(298), 6, 'Success']"
11477,3210,633,"[[11477, 463, 18, 3210], np.float64(1.3176299999999999), np.int64(120), 4, 'Success']"
2877,5000,8935,"[[2877, 11837, 314, 2531, 5000], np.float64(1.01093), np.int64(242), 5, 'Success']"
12130,376,81350,"[[12130, 18, 78, 376], np.float64(7.80561), np.int64(120), 4, 'Success']"
2445,12650,440410,"[[2445, 445, 796, 12650], np.float64(2.88082), np.int64(120), 4, 'Failure']"
8481,1568,2260271,"[[8481, 67, 233, 1568], np.float64(2084.06725), np.int64(114), 4, 'Success']"
189,211,13730247,"[[189, 211], 0, np.int64(420), 2, 'Failure']"
688,11001,5,"[[688, 681, 2701, 2223, 10294, 11001], np.float64(0.0013), np.int64(304), 6, 'Success']"
7460,1513,26,"[[7460, 6274, 4764, 855, 11741, 1512, 1513], np.float64(0.08809), np.int64(338), 7, 'Success']"
3362,9374,752,"[[3362, 3180, 886, 32, 9374], np.float64(2.45234), np.int64(258), 5, 'Success']"
2073,3281,1772,"[[2073, 609, 3281], np.float64(0.1772), np.int64(80), 3, 'Failure']"
205,12944,51418,"[[205, 2, 321, 12944], np.float64(1.05142), np.int64(98), 4, 'Success']"
6898,11269,503514,"[[6898, 32, 11269], np.float64(252.25349), np.int64(184), 3, 'Success']"
7984,4757,1975469,"[[7984, 18, 173, 4757], np.float64(113.87638), np.int64(120), 4, 'Failure']"
8471,12215,10305113,"[[8471, 855, 12215], np.float64(2061.0226), np.int64(80), 3, 'Success']"
10289,3267,3,"[[10289, 6814, 11178, 293, 3267], np.float64(0.00018999999999999998), np.int64(160), 5, 'Success']"
4525,959,19,"[[4525, 3083, 6157, 600, 959], np.float64(0.11417), np.int64(264), 5, 'Success']"
2571,6174,937,"[[2571, 1139, 3905, 6174], np.float64(0.01031), np.int64(120), 4, 'Success']"
11469,819,8809,"[[11469, 612, 8411, 801, 819], np.float64(27.524189999999997), np.int64(154), 5, 'Success']"
2198,3525,57700,
12459,9470,124959,"[[12459, 5777, 609, 19, 21, 9470], np.float64(2.37488), np.int64(178), 6, 'Failure']"
1611,251,4588774,"[[1611, 614, 48, 11, 251], np.float64(10791.25328), np.int64(160), 5, 'Success']"
2618,431,15105964,"[[2618, 177, 73, 431], np.float64(833.07802), np.int64(98), 4, 'Failure']"
9480,8061,1,"[[9480, 855, 2605, 8061], np.float64(0.0002), np.int64(120), 4, 'Success']"
11024,5281,73,"[[11024, 10294, 124, 233, 5281], np.float64(0.23599), np.int64(258), 5, 'Success']"
3760,7092,999,"[[3760, 29, 36, 6274, 7092], np.float64(0.002), np.int64(296), 5, 'Success']"
6795,12615,1840,"[[6795, 4261, 383, 12615], np.float64(0.38273999999999997), np.int64(120), 4, 'Success']"
1275,10306,45574,"[[1275, 858, 314, 10306], np.float64(0.13872), np.int64(224), 4, 'Success']"
7642,6653,848342,"[[7642, 233, 8152, 6653], np.float64(12.87503), np.int64(114), 4, 'Failure']"
2282,5775,1052605,"[[2282, 321, 398, 5775], np.float64(108.31331), np.int64(328), 4, 'Failure']"
8471,6184,37485450,"[[8471, 78, 445, 6184], np.float64(8294.29292), np.int64(120), 4, 'Success']"
3929,8946,4,"[[3929, 87, 36, 8768, 8946], np.float64(0.24161), np.int64(296), 5, 'Success']"
1998,7780,97,"[[1998, 1892, 26, 5043, 6274, 7780], np.float64(1.49504), np.int64(298), 6, 'Success']"
12265,5314,124,"[[12265, 48, 91, 5314], np.float64(0.63646), np.int64(270), 4, 'Success']"
3752,6567,9644,"[[3752, 233, 2169, 3011, 6567], np.float64(1.6431), np.int64(138), 5, 'Success']"
4440,11489,71104,"[[4440, 855, 11489], np.float64(14.2208), np.int64(80), 3, 'Failure']"
4749,8475,847123,"[[4749, 609, 459, 18, 8475], np.float64(4.541370000000001), np.int64(160), 5, 'Success']"
483,6516,1189456,"[[483, 445, 84, 6516], np.float64(4.37892), np.int64(120), 4, 'Success']"
5307,6631,19890357,"[[5307, 12315, 7396, 6631], np.float64(23872.40647), np.int64(224), 4, 'Failure']"
7018,5956,1,"[[7018, 6855, 855, 64, 5956], np.float64(9.008220000000001), np.int64(160), 5, 'Success']"
11751,9834,49,"[[11751, 6668, 6309, 233, 9834], np.float64(0.00902), np.int64(154), 5, 'Success']"
6436,5327,175,"[[6436, 609, 5327], np.float64(0.0175), np.int64(80), 3, 'Success']"
8126,6180,3156,"[[8126, 8125, 855, 6180], np.float64(1.63436), np.int64(120), 4, 'Success']"
1477,4771,38544,"[[1477, 1236, 60, 175, 4771], np.float64(5.36992), np.int64(138), 5, 'Success']"
12913,10471,400102,"[[12913, 12325, 4482, 6090, 10471], np.float64(401.5025), np.int64(154), 5, 'Failure']"
5212,351,5383273,"[[5212, 76, 71, 351], np.float64(304.71359), np.int64(224), 4, 'Failure']"
641,3769,19765389,"[[641, 969, 1983, 173, 66, 3769], np.float64(5517.28265), np.int64(178), 6, 'Failure']"
4602,5431,6,"[[4602, 3083, 4822, 5431], np.float64(0.0), np.int64(328), 4, 'Success']"
1093,5813,96,"[[1093, 634, 32, 5813], np.float64(6.144950000000001), np.int64(328), 4, 'Success']"
10738,5084,952,"[[10738, 10294, 4822, 5084], np.float64(0.0), np.int64(328), 4, 'Success']"
6213,5247,9616,"[[6213, 10, 5247], np.float64(17.3472), np.int64(80), 3, 'Success']"
2011,12194,27188,"[[2011, 1396, 167, 12194], np.float64(4.42569), np.int64(104), 4, 'Success']"
4899,11862,912260,"[[4899, 177, 12315, 11862], np.float64(964.73447), np.int64(224), 4, 'Failure']"
2904,4416,5168725,"[[2904, 6234, 167, 172, 4416], np.float64(809.60056), np.int64(150), 5, 'Failure']"
4682,3477,11644312,"[[4682, 1396, 2270, 3477], np.float64(7279.42277), np.int64(108), 4, 'Success']"
12936,7702,8,"[[12936, 12325, 8723, 6562, 7702], np.float64(1.00001), np.int64(154), 5, 'Success']"
3014,5581,87,"[[3014, 600, 6010, 609, 5581], np.float64(0.00896), np.int64(160), 5, 'Success']"
3673,2227,944,"[[3673, 2, 1977, 2227], np.float64(0.09634), np.int64(92), 4, 'Success']"
4279,12887,3807,"[[4279, 992, 2, 4432, 12887], np.float64(2.8413399999999998), np.int64(138), 5, 'Success']"
1418,10772,65663,
211,6935,364945,"[[211, 2, 6935], np.float64(36.4945), np.int64(58), 3, 'Success']"
12339,4975,5238921,"[[12339, 12348, 11207, 855, 4975], np.float64(2626.01638), np.int64(160), 5, 'Failure']"
4261,575,14703429,"[[4261, 32, 48, 575], np.float64(8809.08767), np.int64(224), 4, 'Success']"
3175,4863,1,"[[3175, 233, 600, 4863], np.float64(0.0), np.int64(114), 4, 'Success']"
8032,6682,97,"[[8032, 1139, 6797, 7011, 6682], np.float64(0.29129), np.int64(160), 5, 'Success']"
8316,9392,285,"[[8316, 3866, 32, 7993, 9392], np.float64(2.15681), np.int64(264), 5, 'Success']"
4116,6637,9995,"[[4116, 855, 4438, 609, 6637], np.float64(2.9987000000000004), np.int64(160), 5, 'Failure']"
8323,2078,61330,"[[8323, 6910, 267, 2078], np.float64(4.0665000000000004), np.int64(120), 4, 'Success']"
2943,520,158343,"[[2943, 8657, 18, 520], np.float64(9.07555), np.int64(120), 4, 'Failure']"
6156,6557,1358072,"[[6156, 855, 12325, 6557], np.float64(271.6144), np.int64(114), 4, 'Success']"
574,32,15594214,"[[574, 48, 32], np.float64(1559.4214), np.int64(80), 3, 'Failure']"
2257,4603,2,"[[2257, 855, 3386, 3083, 4603], np.float64(0.0004), np.int64(264), 5, 'Success']"
4678,8379,48,"[[4678, 3083, 2706, 609, 8379], np.float64(0.14881), np.int64(264), 5, 'Success']"
7543,10347,510,"[[7543, 6274, 3642, 167, 10347], np.float64(1.53051), np.int64(254), 5, 'Success']"
6748,748,5254,"[[6748, 314, 748], np.float64(0.01251), np.int64(184), 3, 'Success']"
6631,12010,26265,"[[6631, 321, 3967, 4025, 12010], np.float64(13.34631), np.int64(258), 5, 'Failure']"
8188,3444,656951,"[[8188, 5307, 131, 3444], np.float64(67.45222), np.int64(120), 4, 'Failure']"
87,261,6962853,"[[87, 445, 3292, 261], np.float64(7.96285), np.int64(100), 4, 'Failure']"
11360,796,39896977,"[[11360, 177, 796], np.float64(2196.58374), np.int64(80), 3, 'Failure']"
2962,1712,10,"[[2962, 3292, 8496, 967, 1032, 1712], np.float64(0.04008), np.int64(180), 6, 'Success']"
9086,3172,90,"[[9086, 8768, 6274, 3083, 3172], np.float64(0.0), np.int64(472), 5, 'Success']"
8481,5614,766,"[[8481, 6755, 4, 5614], np.float64(1.04701), np.int64(224), 4, 'Success']"
13093,1284,3575,"[[13093, 12768, 11178, 609, 1284], np.float64(0.00358), np.int64(160), 5, 'Success']"
3465,8330,79006,"[[3465, 32, 8330], np.float64(40.42399), np.int64(184), 3, 'Failure']"
2716,602,851675,"[[2716, 84, 2441, 602], np.float64(3.70336), np.int64(224), 4, 'Failure']"
3033,12321,1559834,"[[3033, 2589, 5778, 6011, 149, 12321], np.float64(163.7845), np.int64(304), 6, 'Failure']"
4350,1139,13528863,"[[4350, 141, 175, 70, 1139], np.float64(746.33746), np.int64(116), 5, 'Failure']"
11643,6616,2,"[[11643, 32, 2593, 638, 6616], np.float64(2.0022), np.int64(274), 5, 'Success']"
7327,5859,25,"[[7327, 3083, 6157, 600, 5859], np.float64(0.15022), np.int64(264), 5, 'Success']"
11070,12520,540,"[[11070, 11057, 124, 855, 12520], np.float64(1.8529200000000001), np.int64(264), 5, 'Success']"
8918,777,7850,"[[8918, 8768, 21, 777], np.float64(24.56087), np.int64(224), 4, 'Success']"
5945,2904,90164,"[[5945, 855, 2904], np.float64(18.0328), np.int64(80), 3, 'Success']"
896,5861,839974,"[[896, 177, 7042, 6910, 5857, 5861], np.float64(154.29332), np.int64(200), 6, 'Failure']"
2701,6927,2028928,
71,8471,55759401,"[[71, 177, 60, 8471], np.float64(12276.06822), np.int64(76), 4, 'Success']"
148,9347,2,"[[148, 10, 9347], np.float64(1.002), np.int64(80), 3, 'Success']"
1487,4256,90,"[[1487, 1236, 2537, 3083, 4256], np.float64(0.27270999999999995), np.int64(264), 5, 'Success']"
6973,4092,784,"[[6973, 173, 855, 4092], np.float64(2.44993), np.int64(120), 4, 'Success']"
3894,12321,8487,"[[3894, 3277, 18, 12321], np.float64(1.00849), np.int64(120), 4, 'Success']"
4486,505,42156,"[[4486, 12325, 63, 505], np.float64(4.56858), np.int64(114), 4, 'Success']"
7061,6997,355197,"[[7061, 7060, 7053, 6755, 612, 6997], np.float64(98.62948999999999), np.int64(200), 6, 'Failure']"
4718,166,1631982,"[[4718, 2584, 6767, 166], np.float64(282.70217), np.int64(98), 4, 'Failure']"
2573,3551,13569762,"[[2573, 6784, 6587, 233, 142, 3551], np.float64(8710.23858), np.int64(188), 6, 'Failure']"
561,3113,2,"[[561, 207, 124, 1139, 3113], np.float64(0.006500000000000001), np.int64(160), 5, 'Success']"
5615,5691,60,"[[5615, 233, 3642, 4822, 5691], np.float64(0.00504), np.int64(258), 5, 'Success']"
6498,5521,394,"[[6498, 11837, 167, 6043, 5521], np.float64(0.00433), np.int64(128), 5, 'Success']"
9815,3238,2804,"[[9815, 855, 2362, 3238], np.float64(0.57482), np.int64(120), 4, 'Success']"
11786,12127,96148,"[[11786, 18, 66, 12127], np.float64(61.40133), np.int64(224), 4, 'Failure']"
12493,5821,547904,"[[12493, 1984, 32, 5821], np.float64(719.42861), np.int64(218), 4, 'Success']"
297,4712,1952208,"[[297, 142, 2861, 12157, 4712], np.float64(1054.13733), np.int64(160), 5, 'Failure']"
3784,2362,14825208,"[[3784, 1983, 11935, 2362], np.float64(2966.09315), np.int64(120), 4, 'Success']"
13082,10131,5,"[[13082, 383, 19, 609, 10131], np.float64(0.00183), np.int64(138), 5, 'Success']"
6135,2162,83,"[[6135, 609, 19, 2081, 2162], np.float64(0.24908), np.int64(138), 5, 'Success']"
7037,1488,424,"[[7037, 6274, 2, 1236, 1488], np.float64(2.5478199999999998), np.int64(242), 5, 'Success']"
11417,12183,9366,"[[11417, 11178, 612, 12183], np.float64(6.63894), np.int64(120), 4, 'Success']"
8510,8078,77357,"[[8510, 8215, 612, 8078], np.float64(2.15472), np.int64(98), 4, 'Success']"
2691,10164,933536,"[[2691, 445, 1471, 10164], np.float64(96.28733), np.int64(224), 4, 'Failure']"
2537,9596,8575149,"[[2537, 1983, 2938, 3769, 9596], np.float64(935.71302), np.int64(160), 5, 'Failure']"
57,52,78480072,"[[57, 177, 52], np.float64(0.0), np.int64(36), 3, 'Failure']"
2956,175,9,"[[2956, 1139, 70, 175], np.float64(3e-05), np.int64(98), 4, 'Success']"
6608,11444,53,"[[6608, 354, 108, 62, 9303, 11444], np.float64(10.07496), np.int64(174), 6, 'Success']"
3762,4895,731,"[[3762, 609, 1969, 855, 4895], np.float64(0.14766), np.int64(160), 5, 'Success']"
8018,3688,3562,"[[8018, 1139, 6184, 3083, 3688], np.float64(0.5285), np.int64(264), 5, 'Success']"
12888,12183,12411,"[[12888, 470, 32, 12183], np.float64(7.19309), np.int64(284), 4, 'Success']"
12619,287,209468,"[[12619, 609, 87, 287], np.float64(31.471249999999998), np.int64(120), 4, 'Failure']"
8238,4711,1663861,"[[8238, 137, 12325, 4711], np.float64(0.0), np.int64(124), 4, 'Success']"
897,39,11262454,"[[897, 445, 177, 71, 39], np.float64(633.94805), np.int64(242), 5, 'Failure']"
7015,5094,10,"[[7015, 6738, 855, 2706, 4822, 5094], np.float64(1.00201), np.int64(304), 6, 'Success']"
5018,292,72,"[[5018, 167, 292], np.float64(7e-05), np.int64(80), 3, 'Success']"
477,12611,621,"[[477, 48, 6621, 12611], np.float64(0.06831000000000001), np.int64(120), 4, 'Success']"
10113,4407,2351,"[[10113, 609, 4407], np.float64(0.00235), np.int64(80), 3, 'Success']"
1954,12483,77813,"[[1954, 423, 1385, 1369, 12483], np.float64(5.96854), np.int64(154), 5, 'Success']"
3314,8099,155311,"[[3314, 634, 233, 8099], np.float64(198.02585), np.int64(218), 4, 'Success']"
5585,10462,1859829,"[[5585, 321, 10462], np.float64(2.85983), np.int64(80), 3, 'Success']"
12325,351,40838334,"[[12325, 6722, 321, 301, 351], np.float64(48653.594320000004), np.int64(154), 5, 'Failure']"
11746,8897,10,"[[11746, 167, 2223, 8768, 8897], np.float64(1e-05), np.int64(254), 5, 'Success']"
8991,531,18,"[[8991, 8768, 2, 2622, 531], np.float64(0.062119999999999995), np.int64(242), 5, 'Success']"
11357,11834,614,"[[11357, 463, 10058, 6269, 11834], np.float64(2.6439600000000003), np.int64(160), 5, 'Success']"
7325,473,6133,"[[7325, 3083, 392, 473], np.float64(18.56081), np.int64(224), 4, 'Success']"
6771,19,31684,"[[6771, 5885, 177, 19], np.float64(26.66782), np.int64(120), 4, 'Success']"
6490,4293,909694,"[[6490, 612, 2584, 4293], np.float64(912.6046), np.int64(120), 4, 'Failure']"
3915,3869,6135571,"[[3915, 174, 173, 141, 3869], np.float64(339.7064), np.int64(116), 5, 'Success']"
320,5,13279914,"[[320, 507, 91, 5], np.float64(15926.75969), np.int64(270), 4, 'Failure']"
8811,10196,7,"[[8811, 8768, 2, 664, 10196], np.float64(1.02401), np.int64(242), 5, 'Success']"
3720,11478,81,"[[3720, 3083, 12315, 11467, 11478], np.float64(0.34864), np.int64(368), 5, 'Success']"
9415,11902,997,"[[9415, 855, 11207, 11902], np.float64(0.20439), np.int64(120), 4, 'Success']"
10944,10200,8993,"[[10944, 10294, 10621, 10200], np.float64(28.985), np.int64(224), 4, 'Failure']"
4068,5289,26765,"[[4068, 3083, 8688, 5289], np.float64(80.295), np.int64(224), 4, 'Failure']"
8080,7396,830570,"[[8080, 12325, 7396], np.float64(25.0), np.int64(76), 3, 'Success']"
3968,5530,8318460,"[[3968, 1983, 131, 5796, 5530], np.float64(1257.13035), np.int64(160), 5, 'Failure']"
3143,5881,11552846,"[[3143, 2734, 3067, 175, 5881], np.float64(29533.94904), np.int64(258), 5, 'Success']"
9177,11732,3,"[[9177, 8768, 2, 612, 11732], np.float64(1.012), np.int64(242), 5, 'Success']"
4098,11231,54,"[[4098, 2310, 18, 11231], np.float64(1.0023600000000001), np.int64(120), 4, 'Success']"
7759,12730,738,"[[7759, 7218, 36, 609, 12730], np.float64(2.28802), np.int64(296), 5, 'Success']"
4729,2507,4938,"[[4729, 609, 19, 21, 2507], np.float64(1.0098799999999999), np.int64(128), 5, 'Success']"
4243,10507,26155,"[[4243, 3083, 5040, 10516, 10507], np.float64(83.37691000000001), np.int64(368), 5, 'Success']"
2879,2332,153367,"[[2879, 2778, 32, 2332], np.float64(133.56349), np.int64(224), 4, 'Success']"
5052,11873,2695986,"[[5052, 321, 70, 11873], np.float64(154.22537000000003), np.int64(120), 4, 'Success']"
21,6615,10199682,"[[21, 2366, 612, 233, 6615], np.float64(5609.447230000001), np.int64(154), 5, 'Failure']"
3149,1146,6,"[[3149, 609, 3280, 1139, 1146], np.float64(0.01814), np.int64(160), 5, 'Success']"
4420,3078,39,"[[4420, 855, 3078], np.float64(0.0078), np.int64(80), 3, 'Success']"
7974,3436,688,
12633,7451,7237,"[[12633, 609, 2706, 4822, 7451], np.float64(0.00724), np.int64(264), 5, 'Success']"
6790,4642,48335,"[[6790, 8232, 4305, 8188, 5307, 3083, 4642], np.float64(4.19336), np.int64(344), 7, 'Success']"
639,12768,197947,"[[639, 18, 10113, 12768], np.float64(1.19795), np.int64(120), 4, 'Failure']"
5888,5216,3358857,"[[5888, 3883, 321, 5216], np.float64(536.8857), np.int64(224), 4, 'Failure']"
6829,2359,60905938,"[[6829, 177, 64, 2359], np.float64(3352.07659), np.int64(98), 4, 'Failure']"
7612,11410,8,"[[7612, 7218, 3083, 2633, 333, 11410], np.float64(0.27501), np.int64(408), 6, 'Success']"
5480,6404,62,"[[5480, 4822, 3159, 855, 2192, 6404], np.float64(0.20528), np.int64(304), 6, 'Success']"
8166,10728,199,"[[8166, 6980, 10113, 4822, 10294, 10728], np.float64(0.00995), np.int64(408), 6, 'Success']"
3828,8441,7392,"[[3828, 3281, 2, 194, 8441], np.float64(0.74759), np.int64(138), 5, 'Success']"
2826,11972,29548,"[[2826, 1139, 3832, 167, 11972], np.float64(0.41367000000000004), np.int64(150), 5, 'Failure']"
11555,3816,629027,"[[11555, 91, 175, 3816], np.float64(666.41033), np.int64(270), 4, 'Success']"
