Source,Target,Amount,LND1
5288,8541,63602,"[[5288, 3934, 855, 8541], np.float64(28.62408), np.int64(120), 4, 'Success']"
11195,3674,675369,"[[11195, 667, 4339, 6980, 3674], np.float64(36.11925000000001), np.int64(160), 5, 'Failure']"
9459,172,6276231,"[[9459, 3941, 12292, 172], np.float64(13365.15841), np.int64(95), 4, 'Success']"
5280,1846,14940414,"[[5280, 301, 321, 1846], np.float64(8965.995920000001), np.int64(224), 4, 'Failure']"
4053,9835,3,"[[4053, 3083, 8688, 463, 9835], np.float64(0.010499999999999999), np.int64(264), 5, 'Success']"
11316,7586,27,"[[11316, 18, 3277, 7218, 7586], np.float64(1.00003), np.int64(264), 5, 'Success']"
2745,8427,190,"[[2745, 149, 855, 8427], np.float64(0.03919), np.int64(224), 4, 'Success']"
6642,8563,9177,"[[6642, 609, 6867, 8563], np.float64(1.00948), np.int64(120), 4, 'Success']"
11844,5737,49164,"[[11844, 167, 2706, 4822, 5737], np.float64(0.04916), np.int64(248), 5, 'Success']"
4600,5295,619596,"[[4600, 29, 612, 5295], np.float64(2.8588), np.int64(120), 4, 'Success']"
11877,3978,1358265,"[[11877, 32, 3978], np.float64(678.77424), np.int64(184), 3, 'Success']"
3379,2877,15441867,"[[3379, 321, 137, 2877], np.float64(16.44187), np.int64(130), 4, 'Failure']"
1179,6098,10,
11592,4840,88,"[[11592, 11163, 42, 203, 4840], np.float64(1.2299499999999999), np.int64(162), 5, 'Success']"
2639,8842,568,"[[2639, 12325, 855, 8843, 8842], np.float64(1.1143699999999999), np.int64(154), 5, 'Success']"
2149,11957,5764,"[[2149, 609, 19, 56, 11957], np.float64(2.57279), np.int64(138), 5, 'Success']"
2930,11634,40462,"[[2930, 167, 11634], np.float64(0.04046), np.int64(70), 3, 'Failure']"
12805,10807,650747,"[[12805, 12479, 3119, 84, 855, 10807], np.float64(135.10204000000002), np.int64(200), 6, 'Failure']"
2886,11590,6273760,"[[2886, 3064, 579, 137, 12325, 11590], np.float64(6276.188429999999), np.int64(308), 6, 'Failure']"
2909,3544,10680810,"[[2909, 137, 12325, 3544], np.float64(0.0), np.int64(144), 4, 'Failure']"
2238,4326,10,"[[2238, 1609, 194, 3083, 4326], np.float64(1.00101), np.int64(264), 5, 'Success']"
3520,3245,20,"[[3520, 3183, 3245], np.float64(0.01058), np.int64(80), 3, 'Success']"
1818,3567,535,"[[1818, 26, 21, 3567], np.float64(1.21494), np.int64(218), 4, 'Success']"
2333,6587,6346,"[[2333, 320, 529, 6587], np.float64(1.64195), np.int64(114), 4, 'Success']"
6487,8741,90102,"[[6487, 855, 968, 8741], np.float64(37.93692), np.int64(120), 4, 'Failure']"
3856,5774,217190,"[[3856, 855, 5858, 5774], np.float64(65.16134), np.int64(120), 4, 'Failure']"
2173,4896,6602187,"[[2173, 233, 576, 50, 4896], np.float64(395.33795), np.int64(154), 5, 'Failure']"
71,1011,15360513,"[[71, 177, 1011], np.float64(847.07822), np.int64(58), 3, 'Success']"
