Source,Target,Amount,LND1
3352,2787,3233061,"[[3352, 3974, 398, 2787], np.float64(4.23306), np.int64(224), 4, 'Failure']"
698,2578,85341787,"[[698, 57, 173, 2578], np.float64(18784.19314), np.int64(98), 4, 'Failure']"
9794,12028,8,"[[9794, 8179, 167, 7042, 2232, 1139, 10026, 12028], np.float64(1.02703), np.int64(270), 8, 'Success']"
5936,247,55,"[[5936, 12641, 2861, 6953, 5965, 12325, 9314, 6079, 600, 1945, 1960, 247], np.float64(27.34142), np.int64(424), 12, 'Success']"
4674,7764,127,"[[4674, 3083, 7218, 7764], np.float64(0.0), np.int64(328), 4, 'Success']"
12619,12880,8142,"[[12619, 609, 9515, 21, 2318, 12880], np.float64(2.83068), np.int64(200), 6, 'Success']"
5890,8750,62291,"[[5890, 21, 11628, 4261, 10801, 423, 8750], np.float64(7.35716), np.int64(234), 7, 'Failure']"
1612,1607,241693,"[[1612, 142, 10159, 149, 5634, 5977, 1607], np.float64(151.92543), np.int64(344), 7, 'Failure']"
985,8624,5806108,"[[985, 5163, 167, 8624], np.float64(4360.391460000001), np.int64(120), 4, 'Success']"
10,348,12546686,"[[10, 301, 12315, 348], np.float64(18826.30234), np.int64(224), 4, 'Failure']"
8419,10564,7,"[[8419, 6010, 12194, 167, 3642, 7218, 10294, 10564], np.float64(0.00037000000000000005), np.int64(478), 8, 'Success']"
8189,7200,18,"[[8189, 32, 2, 6274, 7200], np.float64(1.00898), np.int64(346), 5, 'Success']"
2256,853,861,"[[2256, 70, 177, 853], np.float64(2.29736), np.int64(98), 4, 'Success']"
3274,1495,7161,"[[3274, 2854, 12325, 9314, 6079, 600, 1236, 1495], np.float64(74.14531), np.int64(264), 8, 'Success']"
800,12191,61494,"[[800, 320, 6020, 167, 894, 12191], np.float64(161.33121), np.int64(184), 6, 'Failure']"
6785,5752,310610,"[[6785, 855, 12325, 11837, 1983, 11584, 11591, 4194, 5752], np.float64(256.47357), np.int64(292), 9, 'Failure']"
1258,137,3535082,"[[1258, 10484, 131, 137], np.float64(359.04373), np.int64(108), 4, 'Success']"
55,2,55706227,"[[55, 173, 62, 2], np.float64(3066.09248), np.int64(76), 4, 'Success']"
3336,8161,8,"[[3336, 698, 172, 8161], np.float64(19.02952), np.int64(120), 4, 'Success']"
5997,12234,78,"[[5997, 1139, 1059, 167, 12234], np.float64(0.32796), np.int64(150), 5, 'Success']"
3504,10901,394,"[[3504, 38, 2, 7218, 10901], np.float64(100.394), np.int64(346), 5, 'Success']"
2554,6119,1909,"[[2554, 600, 1059, 167, 4792, 4261, 6119], np.float64(8.27581), np.int64(240), 7, 'Success']"
12143,3789,78031,"[[12143, 855, 6011, 3892, 3221, 220, 3789], np.float64(23.08429), np.int64(344), 7, 'Failure']"
3488,11713,288812,"[[3488, 78, 175, 3067, 1837, 11713], np.float64(62.719969999999996), np.int64(172), 6, 'Success']"
8238,8782,8820285,"[[8238, 313, 1983, 131, 8782], np.float64(460.65576000000004), np.int64(160), 5, 'Failure']"
6418,322,18189695,"[[6418, 321, 2189, 322], np.float64(3658.13233), np.int64(120), 4, 'Failure']"
