Source,Target,Amount,LND1,LND2: c/300000.0,LND2: c/10.0
5513,4768,3,"[[5513, 4822, 6020, 4768], 0.009, 224, 4, 'Success']","[[5513, 4822, 6020, 4768], 0.009, 224, 4, 'Success']","[[5513, 4822, 6020, 4768], 0.009, 224, 4, 'Success']"
10510,10124,26,"[[10510, 29, 570, 207, 10124], 50.00018, 140, 5, 'Success']","[[10510, 29, 570, 207, 10124], 50.00018, 140, 5, 'Success']","[[10510, 29, 570, 207, 10124], 50.00018, 140, 5, 'Success']"
6234,6621,304,"[[6234, 6980, 6621], 0.0152, 80, 3, 'Success']","[[6234, 29, 3372, 6621], 0.00213, 120, 4, 'Success']","[[6234, 29, 3372, 6621], 0.00213, 120, 4, 'Success']"
4442,3399,5117,"[[4442, 321, 382, 21, 3399], 2.01024, 124, 5, 'Success']","[[4442, 321, 382, 21, 3399], 2.01024, 124, 5, 'Success']","[[4442, 321, 382, 21, 3399], 2.01024, 124, 5, 'Success']"
11541,11537,21177,"[[11541, 398, 11537], 1.02118, 80, 3, 'Success']","[[11541, 4339, 314, 11837, 12325, 4261, 11628, 11537], 0.02318, 356, 8, 'Success']","[[11541, 4339, 314, 11837, 12325, 4261, 11628, 11537], 0.02318, 356, 8, 'Success']"
9643,3789,173716,"[[9643, 172, 167, 3742, 3789], 18.92713, 144, 5, 'Success']","[[9643, 172, 173, 177, 3742, 3789], 18.7534, 150, 6, 'Success']","[[9643, 172, 173, 177, 3742, 3789], 18.7534, 150, 6, 'Success']"
4423,5969,3395593,"[[4423, 855, 5969], 679.1186, 80, 3, 'Success']","[[4423, 855, 8260, 167, 10065, 445, 5969], 45.142830000000004, 240, 7, 'Success']","[[4423, 855, 8260, 167, 10065, 445, 5969], 45.142830000000004, 240, 7, 'Success']"
3101,2359,18274166,"[[3101, 12315, 2359], 18274.166, 184, 3, 'Success']","[[3101, 84, 445, 3134, 2359], 952.25848, 160, 5, 'Success']","[[3101, 84, 445, 3134, 2359], 952.25848, 160, 5, 'Success']"
12184,12767,8,"[[12184, 12325, 10113, 12768, 12767], 0.0, 148, 5, 'Success']","[[12184, 12325, 10113, 12768, 12767], 0.0, 148, 5, 'Success']","[[12184, 12325, 10113, 12768, 12767], 0.0, 148, 5, 'Success']"
8117,1036,18,"[[8117, 3056, 855, 149, 1036], 0.0048, 264, 5, 'Success']","[[8117, 1454, 233, 600, 6010, 6011, 149, 1036], 0.00111, 370, 8, 'Success']","[[8117, 1454, 233, 600, 6010, 6011, 149, 1036], 0.00111, 370, 8, 'Success']"
3345,9173,155,"[[3345, 1139, 6020, 8768, 9173], 0.465, 264, 5, 'Success']","[[3345, 1139, 2232, 7042, 12325, 10113, 8768, 9173], 0.00046, 378, 8, 'Success']","[[3345, 1139, 2232, 7042, 12325, 10113, 8768, 9173], 0.00046, 378, 8, 'Success']"
2389,1010,8340,"[[2389, 32, 600, 1010], 30.19414, 224, 4, 'Success']","[[2389, 463, 12325, 3292, 3099, 189, 1010], 18.10836, 594, 7, 'Success']","[[2389, 463, 12325, 3292, 3099, 189, 1010], 18.10836, 594, 7, 'Success']"
403,7332,39372,"[[403, 3412, 3083, 7332], 4.9686, 224, 4, 'Success']","[[403, 45, 1407, 12325, 5965, 3083, 7332], 0.79744, 338, 7, 'Success']","[[403, 45, 1407, 12325, 5965, 3083, 7332], 0.79744, 338, 7, 'Success']"
96,640,774099,"[[96, 18, 640], 1.7741, 80, 3, 'Success']","[[96, 18, 640], 1.7741, 80, 3, 'Success']","[[96, 18, 640], 1.7741, 80, 3, 'Success']"
11055,3569,4875671,"[[11055, 2189, 6562, 3569], 11.75135, 120, 4, 'Success']","[[11055, 2189, 6562, 3569], 11.75135, 120, 4, 'Success']","[[11055, 2189, 6562, 3569], 11.75135, 120, 4, 'Success']"
801,2270,11456736,"[[801, 2124, 301, 321, 2270], 10865.95178, 264, 5, 'Success']","[[801, 2124, 182, 11837, 137, 131, 10113, 18, 445, 2270], 1964.11025, 348, 10, 'Success']","[[801, 2124, 182, 11837, 137, 131, 10113, 18, 445, 2270], 1964.11025, 348, 10, 'Success']"
8434,10437,1,"[[8434, 91, 2702, 4045, 4432, 10437], 0.10092, 354, 6, 'Success']","[[8434, 91, 2047, 167, 2412, 2, 4432, 10437], 0.1007, 418, 8, 'Success']","[[8434, 91, 2047, 167, 2412, 2, 4432, 10437], 0.1007, 418, 8, 'Success']"
8134,11252,53,"[[8134, 12325, 233, 11252], 0.00011, 108, 4, 'Success']","[[8134, 12325, 233, 11252], 0.00011, 108, 4, 'Success']","[[8134, 12325, 233, 11252], 0.00011, 108, 4, 'Success']"
8415,1448,922,"[[8415, 320, 1360, 78, 1448], 19.90756, 264, 5, 'Success']","[[8415, 2277, 207, 1566, 1573, 78, 1448], 18.51853, 230, 7, 'Success']","[[8415, 2277, 207, 1566, 1573, 78, 1448], 18.51853, 230, 7, 'Success']"
1380,9984,2788,"[[1380, 207, 124, 7218, 9984], 0.69701, 264, 5, 'Success']","[[1380, 207, 1566, 2, 7218, 9984], 0.05576, 272, 6, 'Success']","[[1380, 207, 1566, 2, 7218, 9984], 0.05576, 272, 6, 'Success']"
484,12325,46252,"[[484, 12325], 0, 34, 2, 'Success']","[[484, 12325], 0, 34, 2, 'Success']","[[484, 12325], 0, 34, 2, 'Success']"
9360,3077,621021,"[[9360, 32, 3077], 310.88948, 184, 3, 'Success']","[[9360, 32, 3077], 310.88948, 184, 3, 'Success']","[[9360, 32, 3077], 310.88948, 184, 3, 'Success']"
5052,2454,3768092,"[[5052, 12325, 175, 88, 2454], 209.49506, 132, 5, 'Success']","[[5052, 12325, 173, 88, 2454], 209.49506, 132, 5, 'Success']","[[5052, 12325, 173, 88, 2454], 209.49506, 132, 5, 'Success']"
6661,244,12532569,"[[6661, 91, 175, 173, 244], 13225.30184, 282, 5, 'Success']","[[6661, 91, 175, 173, 244], 13225.30184, 282, 5, 'Success']","[[6661, 91, 175, 173, 244], 13225.30184, 282, 5, 'Success']"
7990,7805,10,"[[7990, 2605, 3374, 3642, 7218, 7805], 0.0015, 304, 6, 'Success']","[[7990, 2605, 8475, 8756, 12157, 5027, 4298, 12325, 36, 7218, 7805], 3.0000000000000004e-05, 530, 11, 'Success']","[[7990, 2605, 8475, 8756, 12157, 5027, 4298, 12325, 36, 7218, 7805], 3.0000000000000004e-05, 530, 11, 'Success']"
12752,2767,25,"[[12752, 2290, 2938, 2767], 0.0017, 120, 4, 'Success']","[[12752, 2290, 6478, 12325, 3974, 3352, 2767], 0.00027, 234, 7, 'Success']","[[12752, 2290, 6478, 12325, 3974, 3352, 2767], 0.00027, 234, 7, 'Success']"
6724,8185,380,"[[6724, 6755, 7129, 8185], 0.0086, 114, 4, 'Success']","[[6724, 6755, 7129, 8185], 0.0086, 114, 4, 'Success']","[[6724, 6755, 7129, 8185], 0.0086, 114, 4, 'Success']"
5870,4684,8806,"[[5870, 3052, 612, 1806, 4684], 1.36108, 160, 5, 'Success']","[[5870, 3052, 5938, 6941, 3221, 3892, 167, 1806, 4684], 0.38748000000000005, 310, 9, 'Success']","[[5870, 3052, 5938, 6941, 3221, 3892, 167, 1806, 4684], 0.38748000000000005, 310, 9, 'Success']"
8134,11646,34683,"[[8134, 12325, 855, 11646], 6.9366, 114, 4, 'Success']","[[8134, 12325, 855, 11646], 6.9366, 114, 4, 'Success']","[[8134, 12325, 855, 11646], 6.9366, 114, 4, 'Success']"
11666,12177,213562,"[[11666, 2751, 58, 8782, 12177], 39.44257, 154, 5, 'Success']","[[11666, 2751, 2654, 5199, 12325, 612, 12177], 9.969660000000001, 234, 7, 'Success']","[[11666, 2751, 2654, 5199, 12325, 612, 12177], 9.969660000000001, 234, 7, 'Success']"
4346,4477,2399346,"[[4346, 12325, 6035, 604, 4477], 480.39319, 252, 5, 'Success']","[[4346, 12325, 182, 5965, 604, 4477], 243.33418999999998, 298, 6, 'Success']","[[4346, 12325, 182, 5965, 604, 4477], 243.33418999999998, 298, 6, 'Success']"
1011,3134,22885202,"[[1011, 177, 321, 3134], 1284.82262, 120, 4, 'Success']","[[1011, 177, 321, 3134], 1284.82262, 120, 4, 'Success']","[[1011, 177, 321, 3134], 1284.82262, 120, 4, 'Success']"
1661,12696,5,"[[1661, 1236, 19, 21, 12696], 1.018, 138, 5, 'Success']","[[1661, 1236, 600, 6010, 18, 12696], 1.00002, 200, 6, 'Success']","[[1661, 1236, 600, 6010, 18, 12696], 1.00002, 200, 6, 'Success']"
12866,6674,24,"[[12866, 6980, 855, 6674], 0.005999999999999999, 120, 4, 'Success']","[[12866, 12768, 10113, 12325, 855, 6674], 0.0048, 194, 6, 'Success']","[[12866, 12768, 10113, 12325, 855, 6674], 0.0048, 194, 6, 'Success']"
9589,3071,710,"[[9589, 11267, 21, 3071], 2.00142, 120, 4, 'Success']","[[9589, 11267, 21, 3071], 2.00142, 120, 4, 'Success']","[[9589, 11267, 21, 3071], 2.00142, 120, 4, 'Success']"
10454,3116,3791,"[[10454, 855, 237, 3080, 3116], 2.49159, 154, 5, 'Success']","[[10454, 855, 6876, 6781, 609, 3177, 3080, 3116], 1.7254399999999999, 280, 8, 'Success']","[[10454, 855, 6876, 6781, 609, 3177, 3080, 3116], 1.7254399999999999, 280, 8, 'Success']"
8748,544,64747,"[[8748, 8497, 45, 544], 2.05242, 130, 4, 'Success']","[[8748, 8497, 45, 544], 2.05242, 130, 4, 'Success']","[[8748, 8497, 45, 544], 2.05242, 130, 4, 'Success']"
11635,10517,470489,"[[11635, 2562, 3070, 10518, 10517], 24.46581, 150, 5, 'Success']","[[11635, 8523, 10113, 84, 10518, 10517], 12.350779999999999, 200, 6, 'Success']","[[11635, 8523, 10113, 84, 10518, 10517], 12.350779999999999, 200, 6, 'Success']"
4996,7028,1039552,"[[4996, 167, 175, 71, 7028], 60.46497, 128, 5, 'Success']","[[4996, 167, 177, 71, 7028], 60.46497, 128, 5, 'Success']","[[4996, 167, 177, 71, 7028], 60.46497, 128, 5, 'Success']"
175,141,76216526,,,
7883,1675,7,"[[7883, 6274, 36, 1139, 924, 1675], 0.06319, 336, 6, 'Success']","[[7883, 6274, 36, 1139, 924, 1675], 0.06319, 336, 6, 'Success']","[[7883, 6274, 36, 1139, 924, 1675], 0.06319, 336, 6, 'Success']"
7248,3770,64,"[[7248, 6274, 2, 154, 3770], 1.20216, 236, 5, 'Success']","[[7248, 6274, 3642, 167, 6030, 154, 3770], 1.19571, 328, 7, 'Success']","[[7248, 6274, 3642, 167, 6030, 154, 3770], 1.19571, 328, 7, 'Success']"
11503,12826,197,"[[11503, 12325, 91, 12826], 0.697, 252, 4, 'Success']","[[11503, 12325, 91, 12826], 0.697, 252, 4, 'Success']","[[11503, 12325, 91, 12826], 0.697, 252, 4, 'Success']"
11240,3130,6355,"[[11240, 149, 173, 3130], 2.60688, 224, 4, 'Success']","[[11240, 12574, 13058, 4976, 4734, 12325, 173, 3130], 2.59952, 274, 8, 'Success']","[[11240, 12574, 13058, 4976, 4734, 12325, 173, 3130], 2.59952, 274, 8, 'Success']"
8319,126,55192,"[[8319, 12325, 131, 126], 1.05519, 114, 4, 'Success']","[[8319, 12325, 6035, 3221, 480, 126], 0.11038, 188, 6, 'Success']","[[8319, 12325, 6035, 3221, 480, 126], 0.11038, 188, 6, 'Success']"
8351,4784,173226,"[[8351, 32, 4784], 260.66577, 184, 3, 'Success']","[[8351, 32, 321, 12686, 4784], 89.78739999999999, 264, 5, 'Success']","[[8351, 32, 321, 12686, 4784], 89.78739999999999, 264, 5, 'Success']"
9510,12061,4392690,"[[9510, 445, 12315, 12061], 4398.087079999999, 224, 4, 'Success']","[[9510, 12148, 12325, 12315, 12061], 4392.69, 252, 5, 'Success']","[[9510, 12148, 12325, 12315, 12061], 4392.69, 252, 5, 'Success']"
11356,153,24093195,"[[11356, 3292, 3642, 301, 153], 33741.31494, 140, 5, 'Success']","[[11356, 3292, 3784, 177, 321, 301, 153], 28056.95201, 220, 7, 'Success']","[[11356, 3292, 3784, 177, 321, 301, 153], 28056.95201, 220, 7, 'Success']"
2434,33,9,"[[2434, 167, 6030, 10, 33], 1.0153100000000002, 140, 5, 'Success']","[[2434, 167, 6030, 10, 33], 1.0153100000000002, 140, 5, 'Success']","[[2434, 167, 6030, 10, 33], 1.0153100000000002, 140, 5, 'Success']"
3883,7227,67,"[[3883, 167, 2223, 6274, 7227], 7e-05, 254, 5, 'Success']","[[3883, 167, 2223, 6274, 7227], 7e-05, 254, 5, 'Success']","[[3883, 167, 2223, 6274, 7227], 7e-05, 254, 5, 'Success']"
10192,3358,972,"[[10192, 10780, 855, 3358], 0.28118, 140, 4, 'Success']","[[10192, 6557, 12325, 855, 3358], 0.1944, 154, 5, 'Success']","[[10192, 6557, 12325, 855, 3358], 0.1944, 154, 5, 'Success']"
1579,3812,9523,"[[1579, 445, 3812], 1.9523, 184, 3, 'Success']","[[1579, 8160, 167, 11654, 8555, 3812], 0.01904, 184, 6, 'Success']","[[1579, 8160, 167, 11654, 8555, 3812], 0.01904, 184, 6, 'Success']"
1446,11182,66763,,,
1343,42,276945,"[[1343, 233, 42], 20.21698, 74, 3, 'Success']","[[1343, 3322, 407, 314, 308, 11837, 42], 0.002, 300, 7, 'Success']","[[1343, 3322, 407, 314, 308, 11837, 42], 0.002, 300, 7, 'Success']"
4807,1919,4532287,"[[4807, 175, 445, 667, 1919], 2225.64391, 264, 5, 'Success']","[[4807, 175, 70, 667, 1919], 614.12869, 138, 5, 'Success']","[[4807, 175, 70, 667, 1919], 614.12869, 138, 5, 'Success']"
4429,5969,13250422,"[[4429, 141, 173, 855, 5969], 3381.25336, 498, 5, 'Success']","[[4429, 141, 173, 855, 5969], 3381.25336, 498, 5, 'Success']","[[4429, 141, 173, 855, 5969], 3381.25336, 498, 5, 'Success']"
1598,7473,1,"[[1598, 2, 7218, 7473], 0.0, 202, 4, 'Success']","[[1598, 2, 7218, 7473], 0.0, 202, 4, 'Success']","[[1598, 2, 7218, 7473], 0.0, 202, 4, 'Success']"
5802,7654,43,"[[5802, 4822, 3083, 6274, 7654], 0.0, 472, 5, 'Success']","[[5802, 4822, 3083, 6274, 7654], 0.0, 472, 5, 'Success']","[[5802, 4822, 3083, 6274, 7654], 0.0, 472, 5, 'Success']"
6887,1254,845,"[[6887, 570, 1236, 1254], 2.535, 100, 4, 'Success']","[[6887, 570, 1236, 1254], 2.535, 100, 4, 'Success']","[[6887, 570, 1236, 1254], 2.535, 100, 4, 'Success']"
4146,4047,4737,"[[4146, 3083, 4047], 0.0, 184, 3, 'Success']","[[4146, 3083, 4047], 0.0, 184, 3, 'Success']","[[4146, 3083, 4047], 0.0, 184, 3, 'Success']"
2948,2182,96996,"[[2948, 233, 5059, 2182], 15.6538, 114, 4, 'Success']","[[2948, 233, 3190, 167, 897, 5059, 2182], 6.141800000000001, 328, 7, 'Success']","[[2948, 233, 3190, 167, 897, 5059, 2182], 6.141800000000001, 328, 7, 'Success']"
231,3694,822476,"[[231, 855, 3183, 3673, 3694], 298.11946, 158, 5, 'Success']","[[231, 345, 2904, 5965, 612, 3673, 3694], 13.83923, 232, 7, 'Success']","[[231, 345, 2904, 5965, 612, 3673, 3694], 13.83923, 232, 7, 'Success']"
12891,11673,2606250,"[[12891, 612, 293, 11673], 655.1694, 120, 4, 'Success']","[[12891, 612, 293, 11673], 655.1694, 120, 4, 'Success']","[[12891, 612, 293, 11673], 655.1694, 120, 4, 'Success']"
2854,52,18660065,"[[2854, 1011, 177, 52], 3920.71365, 98, 4, 'Success']","[[2854, 5855, 50, 177, 52], 2800.00975, 116, 5, 'Success']","[[2854, 5855, 50, 177, 52], 2800.00975, 116, 5, 'Success']"
4042,10393,7,"[[4042, 855, 2223, 10294, 10393], 0.0014, 264, 5, 'Success']","[[4042, 1139, 2232, 7042, 167, 2223, 10294, 10393], 3.0000000000000004e-05, 374, 8, 'Success']","[[4042, 1139, 2232, 7042, 167, 2223, 10294, 10393], 3.0000000000000004e-05, 374, 8, 'Success']"
11497,8673,55,"[[11497, 855, 29, 8673], 0.01111, 120, 4, 'Success']","[[11497, 855, 6876, 167, 29, 8673], 0.00051, 200, 6, 'Success']","[[11497, 855, 6876, 167, 29, 8673], 0.00051, 200, 6, 'Success']"
6926,5367,727,"[[6926, 21, 9515, 609, 5367], 1.0734299999999999, 160, 5, 'Success']","[[6926, 21, 9515, 609, 5367], 1.0734299999999999, 160, 5, 'Success']","[[6926, 21, 9515, 609, 5367], 1.0734299999999999, 160, 5, 'Success']"
8693,12296,3516,"[[8693, 314, 3974, 6562, 12296], 1.00552, 264, 5, 'Success']","[[8693, 314, 3974, 6562, 12296], 1.00552, 264, 5, 'Success']","[[8693, 314, 3974, 6562, 12296], 1.00552, 264, 5, 'Success']"
9860,1901,93657,"[[9860, 855, 12325, 26, 1901], 56.20169, 148, 5, 'Success']","[[9860, 855, 6876, 167, 10339, 12325, 26, 1901], 38.118660000000006, 252, 8, 'Success']","[[9860, 855, 6876, 167, 10339, 12325, 26, 1901], 38.118660000000006, 252, 8, 'Success']"
3544,6804,717158,"[[3544, 173, 50, 6804], 41.69369, 98, 4, 'Success']","[[3544, 173, 50, 6804], 41.69369, 98, 4, 'Success']","[[3544, 173, 50, 6804], 41.69369, 98, 4, 'Success']"
12010,1011,1610530,"[[12010, 4025, 3967, 32, 1011], 1271.9721299999999, 264, 5, 'Success']","[[12010, 4025, 3967, 3934, 10016, 463, 12325, 3292, 3784, 1011], 487.81672, 334, 10, 'Success']","[[12010, 4025, 3967, 3934, 10016, 463, 12325, 3292, 3784, 1011], 487.81672, 334, 10, 'Success']"
9510,5961,11615941,"[[9510, 10113, 1983, 5961], 1161.5941, 120, 4, 'Success']","[[9510, 10113, 1983, 5961], 1161.5941, 120, 4, 'Success']","[[9510, 10113, 1983, 5961], 1161.5941, 120, 4, 'Success']"
5705,12498,8,,,
12296,11210,58,"[[12296, 6562, 4338, 3642, 11057, 11210], 1.01108, 304, 6, 'Success']","[[12296, 6562, 8723, 12325, 10113, 4822, 11057, 11210], 1.00006, 482, 8, 'Success']","[[12296, 6562, 8723, 12325, 10113, 4822, 11057, 11210], 1.00006, 482, 8, 'Success']"
234,7097,553,"[[234, 41, 2, 6274, 7097], 0.12166, 216, 5, 'Success']","[[234, 12206, 11491, 12325, 36, 6274, 7097], 0.00221, 338, 7, 'Success']","[[234, 12206, 11491, 12325, 36, 6274, 7097], 0.00221, 338, 7, 'Success']"
7365,2823,8112,"[[7365, 6274, 36, 1139, 2823], 48.74500999999999, 296, 5, 'Success']","[[7365, 6274, 36, 1139, 2823], 48.74500999999999, 296, 5, 'Success']","[[7365, 6274, 36, 1139, 2823], 48.74500999999999, 296, 5, 'Success']"
8416,9866,76753,"[[8416, 855, 9879, 9866], 15.65767, 120, 4, 'Success']","[[8416, 855, 6876, 167, 13029, 12768, 9866], 0.53727, 240, 7, 'Success']","[[8416, 855, 6876, 167, 13029, 12768, 9866], 0.53727, 240, 7, 'Success']"
9472,13092,270363,"[[9472, 855, 10771, 13092], 61.86524, 114, 4, 'Success']","[[9472, 3921, 167, 12390, 13092], 5.23818, 144, 5, 'Success']","[[9472, 3921, 167, 12390, 13092], 5.23818, 144, 5, 'Success']"
3163,3507,3538172,"[[3163, 175, 57, 3507], 196.84946, 78, 4, 'Success']","[[3163, 175, 57, 3507], 196.84946, 78, 4, 'Success']","[[3163, 175, 57, 3507], 196.84946, 78, 4, 'Success']"
4704,175,49641482,"[[4704, 321, 60, 175], 50.64148, 98, 4, 'Success']","[[4704, 321, 56, 175], 50.64148, 98, 4, 'Success']","[[4704, 321, 56, 175], 50.64148, 98, 4, 'Success']"
1709,6611,7,"[[1709, 1032, 2081, 600, 999, 6611], 0.0639, 200, 6, 'Success']","[[1709, 1032, 2081, 19, 215, 137, 12325, 4482, 999, 6611], 0.042789999999999995, 342, 10, 'Success']","[[1709, 1032, 2081, 19, 215, 137, 12325, 4482, 999, 6611], 0.042789999999999995, 342, 10, 'Success']"
1252,7784,100,"[[1252, 1236, 254, 7218, 7784], 0.30421, 264, 5, 'Success']","[[1252, 1236, 600, 2654, 2, 7218, 7784], 0.00039999999999999996, 322, 7, 'Success']","[[1252, 1236, 600, 2654, 2, 7218, 7784], 0.00039999999999999996, 322, 7, 'Success']"
11017,8042,720,"[[11017, 10294, 3520, 2877, 8042], 3.19482, 264, 5, 'Success']","[[11017, 10294, 4822, 10113, 2877, 8042], 3.1637199999999996, 408, 6, 'Success']","[[11017, 10294, 4822, 10113, 2877, 8042], 3.1637199999999996, 408, 6, 'Success']"
7347,32,3084,"[[7347, 7218, 2, 32], 9.252, 202, 4, 'Success']","[[7347, 7218, 2, 32], 9.252, 202, 4, 'Success']","[[7347, 7218, 2, 32], 9.252, 202, 4, 'Success']"
11451,3642,86375,"[[11451, 612, 3642], 1.08638, 80, 3, 'Success']","[[11451, 612, 3642], 1.08638, 80, 3, 'Success']","[[11451, 612, 3642], 1.08638, 80, 3, 'Success']"
8419,12283,710418,"[[8419, 4180, 32, 148, 12283], 1741.8877, 264, 5, 'Success']","[[8419, 4180, 5778, 3221, 3892, 6011, 6010, 1559, 12325, 148, 12283], 1172.69357, 394, 11, 'Success']","[[8419, 4180, 5778, 3221, 3892, 6011, 6010, 1559, 12325, 148, 12283], 1172.69357, 394, 11, 'Success']"
12473,3632,1110291,"[[12473, 855, 3632], 222.0582, 74, 3, 'Success']","[[12473, 855, 3632], 222.0582, 74, 3, 'Success']","[[12473, 855, 3632], 222.0582, 74, 3, 'Success']"
2603,2418,14230133,"[[2603, 32, 6562, 2418], 7117.0741, 224, 4, 'Success']","[[2603, 32, 6562, 2418], 7117.0741, 224, 4, 'Success']","[[2603, 32, 6562, 2418], 7117.0741, 224, 4, 'Success']"
1796,4002,7,"[[1796, 1236, 694, 855, 4002], 0.02255, 160, 5, 'Success']","[[1796, 1236, 600, 6010, 855, 4002], 0.00142, 200, 6, 'Success']","[[1796, 1236, 600, 6010, 855, 4002], 0.00142, 200, 6, 'Success']"
12880,324,86,"[[12880, 2318, 21, 345, 324], 2.1412699999999996, 154, 5, 'Success']","[[12880, 2318, 21, 3896, 351, 324], 2.00147, 194, 6, 'Success']","[[12880, 2318, 21, 3896, 351, 324], 2.00147, 194, 6, 'Success']"
10250,3603,525,"[[10250, 7218, 3277, 2218, 3603], 1.6013300000000001, 264, 5, 'Success']","[[10250, 7218, 8301, 4433, 12325, 29, 3603], 1.57605, 338, 7, 'Success']","[[10250, 7218, 8301, 4433, 12325, 29, 3603], 1.57605, 338, 7, 'Success']"
6889,6579,1013,"[[6889, 6890, 5975, 1407, 9423, 6579], 2.0902399999999997, 200, 6, 'Success']","[[6889, 6890, 1804, 600, 6079, 9314, 12325, 167, 9281, 9518, 6579], 1.01214, 374, 11, 'Success']","[[6889, 6890, 1804, 600, 6079, 9314, 12325, 167, 9281, 9518, 6579], 1.01214, 374, 11, 'Success']"
6907,11839,60686,"[[6907, 5949, 7042, 167, 11839], 1.1213799999999998, 150, 5, 'Success']","[[6907, 5949, 3372, 4792, 167, 11839], 0.36412, 190, 6, 'Success']","[[6907, 5949, 3372, 4792, 167, 11839], 0.36412, 190, 6, 'Success']"
6954,68,293197,"[[6954, 314, 1983, 68], 52.777460000000005, 224, 4, 'Success']","[[6954, 314, 1659, 131, 68], 1.2952, 264, 5, 'Success']","[[6954, 314, 1659, 131, 68], 1.2952, 264, 5, 'Success']"
230,2051,2763256,"[[230, 321, 293, 2051], 647.6025500000001, 120, 4, 'Success']","[[230, 321, 293, 2051], 647.6025500000001, 120, 4, 'Success']","[[230, 321, 293, 2051], 647.6025500000001, 120, 4, 'Success']"
50,153,16921850,"[[50, 177, 321, 301, 153], 9412.273399999998, 138, 5, 'Success']","[[50, 177, 321, 301, 153], 9412.273399999998, 138, 5, 'Success']","[[50, 177, 321, 301, 153], 9412.273399999998, 138, 5, 'Success']"
3049,425,7,"[[3049, 2974, 10, 11840, 425], 2.00701, 160, 5, 'Success']","[[3049, 2974, 10, 468, 9314, 12325, 1573, 11840, 425], 2.0000400000000003, 304, 9, 'Success']","[[3049, 2974, 10, 468, 9314, 12325, 1573, 11840, 425], 2.0000400000000003, 304, 9, 'Success']"
4950,1869,16,"[[4950, 4822, 2, 32, 1869], 1.0590000000000002, 346, 5, 'Success']","[[4950, 4822, 2, 32, 1869], 1.0590000000000002, 346, 5, 'Success']","[[4950, 4822, 2, 32, 1869], 1.0590000000000002, 346, 5, 'Success']"
4764,8847,137,"[[4764, 11578, 18, 8847], 1.00152, 110, 4, 'Success']","[[4764, 609, 2425, 18, 8847], 1.00028, 160, 5, 'Success']","[[4764, 609, 2425, 18, 8847], 1.00028, 160, 5, 'Success']"
3888,7302,6852,"[[3888, 3887, 612, 2, 7218, 7302], 3.37745, 282, 6, 'Success']","[[3888, 3887, 855, 6876, 167, 2223, 7218, 7302], 2.4183700000000004, 374, 8, 'Success']","[[3888, 3887, 855, 6876, 167, 2223, 7218, 7302], 2.4183700000000004, 374, 8, 'Success']"
3233,6899,37210,"[[3233, 21, 3874, 224, 6900, 6899], 3.14884, 200, 6, 'Success']","[[3233, 21, 3874, 224, 6900, 6899], 3.14884, 200, 6, 'Success']","[[3233, 21, 3874, 224, 6900, 6899], 3.14884, 200, 6, 'Success']"
2877,279,426933,"[[2877, 175, 141, 279], 25.73132, 98, 4, 'Success']","[[2877, 175, 141, 279], 25.73132, 98, 4, 'Success']","[[2877, 175, 141, 279], 25.73132, 98, 4, 'Success']"
3735,8347,7326856,"[[3735, 4338, 18, 8347], 2645.99802, 120, 4, 'Success']","[[3735, 855, 8260, 167, 6722, 18, 8347], 88.92244, 240, 7, 'Success']","[[3735, 855, 8260, 167, 6722, 18, 8347], 88.92244, 240, 7, 'Success']"
6631,367,15670793,"[[6631, 7396, 12315, 367], 17239.43938, 218, 4, 'Success']","[[6631, 6587, 1983, 60, 175, 61, 293, 367], 8010.49514, 224, 8, 'Success']","[[6631, 6587, 1983, 60, 175, 61, 293, 367], 8010.49514, 224, 8, 'Success']"
5076,11977,6,"[[5076, 4822, 3159, 855, 11977], 0.01926, 264, 5, 'Success']","[[5076, 4822, 10113, 12325, 855, 11977], 0.0192, 298, 6, 'Success']","[[5076, 4822, 10113, 12325, 855, 11977], 0.0192, 298, 6, 'Success']"
6957,4412,69,"[[6957, 6792, 5979, 855, 4412], 1.0237399999999999, 160, 5, 'Success']","[[6957, 6792, 4758, 6134, 12325, 10632, 149, 6537, 4412], 1.0146, 418, 9, 'Success']","[[6957, 6792, 4758, 6134, 12325, 10632, 149, 6537, 4412], 1.0146, 418, 9, 'Success']"
1728,750,401,"[[1728, 924, 1139, 6219, 314, 750], 1.20661, 304, 6, 'Success']","[[1728, 924, 1139, 2232, 7042, 12325, 29, 750], 1.20501, 274, 8, 'Success']","[[1728, 924, 1139, 2232, 7042, 12325, 29, 750], 1.20501, 274, 8, 'Success']"
3350,12766,1956,"[[3350, 233, 13029, 12768, 12767, 12766], 1.1096, 188, 6, 'Success']","[[3350, 233, 3190, 167, 13029, 12768, 12767, 12766], 1.00883, 372, 8, 'Success']","[[3350, 233, 3190, 167, 13029, 12768, 12767, 12766], 1.00883, 372, 8, 'Success']"
11295,8099,30915,"[[11295, 233, 8099], 31.20858, 74, 3, 'Success']","[[11295, 9510, 167, 5965, 3297, 6764, 3896, 4816, 8099], 0.1556, 304, 9, 'Success']","[[11295, 9510, 167, 5965, 3297, 6764, 3896, 4816, 8099], 0.1556, 304, 9, 'Success']"
6567,12066,575438,"[[6567, 3011, 579, 137, 2877, 12066], 31.77449, 314, 6, 'Success']","[[6567, 3011, 579, 137, 2877, 12066], 31.77449, 314, 6, 'Success']","[[6567, 3011, 579, 137, 2877, 12066], 31.77449, 314, 6, 'Success']"
