Source,Target,Amount,LND1,LND2: c/300000.0,LND2: c/10.0
6340,3235,5,"[[6340, 6332, 12445, 5965, 2508, 3235], 2.0021000000000004, 196, 6, 'Success']","[[6340, 6332, 6341, 4275, 6339, 4196, 233, 600, 6079, 9314, 12325, 2508, 3235], 1.00128, 452, 13, 'Success']","[[6340, 6332, 6341, 4275, 6339, 4196, 233, 600, 6079, 9314, 12325, 2508, 3235], 1.00128, 452, 13, 'Success']"
8901,11116,94,"[[8901, 8768, 6274, 11057, 11116], 0.0, 472, 5, 'Success']","[[8901, 8768, 6274, 11057, 11116], 0.0, 472, 5, 'Success']","[[8901, 8768, 6274, 11057, 11116], 0.0, 472, 5, 'Success']"
6492,1091,402,"[[6492, 609, 2633, 11532, 1091], 0.059090000000000004, 160, 5, 'Success']","[[6492, 609, 858, 4090, 12325, 227, 1091], 0.0008, 234, 7, 'Success']","[[6492, 609, 858, 4090, 12325, 227, 1091], 0.0008, 234, 7, 'Success']"
11590,8160,4219,"[[11590, 12325, 8160], 0.0, 74, 3, 'Success']","[[11590, 12325, 8160], 0.0, 74, 3, 'Success']","[[11590, 12325, 8160], 0.0, 74, 3, 'Success']"
3331,8568,67334,"[[3331, 91, 886, 8568], 67.9024, 270, 4, 'Success']","[[3331, 2223, 600, 6010, 18, 12334, 886, 8568], 1.74168, 280, 8, 'Success']","[[3331, 2223, 600, 6010, 18, 12334, 886, 8568], 1.74168, 280, 8, 'Success']"
10542,2789,189387,"[[10542, 8782, 9304, 91, 2789], 191.07658, 310, 5, 'Success']","[[10542, 3372, 12157, 5027, 91, 2789], 189.887, 350, 6, 'Success']","[[10542, 3372, 12157, 5027, 91, 2789], 189.887, 350, 6, 'Success']"
8055,3397,1876838,"[[8055, 855, 2427, 3397], 727.4067, 120, 4, 'Success']","[[8055, 12325, 8723, 3221, 2427, 3397], 354.8459, 194, 6, 'Success']","[[8055, 12325, 8723, 3221, 2427, 3397], 354.8459, 194, 6, 'Success']"
6631,11067,15897713,"[[6631, 6587, 3292, 11067], 1923.62518, 88, 4, 'Success']","[[6631, 6587, 1983, 60, 173, 174, 11067], 1051.5088700000001, 184, 7, 'Success']","[[6631, 6587, 1983, 60, 173, 174, 11067], 1051.5088700000001, 184, 7, 'Success']"
1673,5699,10,"[[1673, 1672, 36, 4822, 5699], 0.03, 296, 5, 'Success']","[[1673, 1672, 36, 4822, 5699], 0.03, 296, 5, 'Success']","[[1673, 1672, 36, 4822, 5699], 0.03, 296, 5, 'Success']"
4261,8200,20,"[[4261, 2938, 494, 8200], 0.00956, 98, 4, 'Success']","[[4261, 1358, 2861, 2635, 8200], 0.00334, 160, 5, 'Success']","[[4261, 1358, 2861, 2635, 8200], 0.00334, 160, 5, 'Success']"
7853,10247,904,"[[7853, 6274, 3083, 7218, 10247], 0.0, 472, 5, 'Success']","[[7853, 6274, 3083, 7218, 10247], 0.0, 472, 5, 'Success']","[[7853, 6274, 3083, 7218, 10247], 0.0, 472, 5, 'Success']"
8467,2598,6620,"[[8467, 4792, 398, 2598], 1.00662, 120, 4, 'Success']","[[8467, 167, 12194, 6010, 6011, 8140, 2598], 0.60242, 230, 7, 'Success']","[[8467, 167, 12194, 6010, 6011, 8140, 2598], 0.60242, 230, 7, 'Success']"
6557,8670,33483,"[[6557, 2441, 21, 8670], 2.06696, 120, 4, 'Success']","[[6557, 12325, 8167, 244, 8670], 1.03348, 154, 5, 'Success']","[[6557, 12325, 8167, 244, 8670], 1.03348, 154, 5, 'Success']"
